epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.978,0.29942,0.96395,1,0.10005,0.000553737,0.000553737,0.000553737
2,39.6786,0.16655,0.96599,1,0.09301,0.00108744,0.00108744,0.00108744
3,55.0715,0.17034,0.96871,1,0.09817,0.00159913,0.00159913,0.00159913
4,70.2742,0.1571,0.96054,1,0.10927,0.00156798,0.00156798,0.00156798
5,85.6014,0.14933,0.98095,1,0.06103,0.00153497,0.00153497,0.00153497
6,101.313,0.12996,0.97483,1,0.07343,0.00150197,0.00150197,0.00150197
7,116.607,0.11766,0.97211,1,0.09523,0.00146896,0.00146896,0.00146896
8,132.004,0.11275,0.97211,1,0.08909,0.00143595,0.00143595,0.00143595
9,147.57,0.09864,0.97687,1,0.07364,0.00140295,0.00140295,0.00140295
10,162.748,0.10752,0.97823,1,0.07199,0.00136994,0.00136994,0.00136994
11,177.996,0.09338,0.98776,1,0.04354,0.00133693,0.00133693,0.00133693
12,193.289,0.08348,0.97415,1,0.07933,0.00130393,0.00130393,0.00130393
13,208.471,0.08582,0.98503,1,0.06015,0.00127092,0.00127092,0.00127092
14,223.684,0.07949,0.98027,1,0.07621,0.00123791,0.00123791,0.00123791
15,239.258,0.07498,0.98367,1,0.05872,0.00120491,0.00120491,0.00120491
16,257.552,0.07419,0.98707,1,0.05528,0.0011719,0.0011719,0.0011719
17,284.453,0.07264,0.98639,1,0.0457,0.00113889,0.00113889,0.00113889
18,300.546,0.07023,0.98707,1,0.05273,0.00110589,0.00110589,0.00110589
19,315.632,0.0684,0.98503,1,0.04635,0.00107288,0.00107288,0.00107288
20,330.992,0.06464,0.98912,1,0.04157,0.00103987,0.00103987,0.00103987
21,346.226,0.06171,0.98367,1,0.04924,0.00100687,0.00100687,0.00100687
22,361.667,0.05461,0.98435,1,0.05363,0.000973861,0.000973861,0.000973861
23,381.711,0.05441,0.98503,1,0.05617,0.000940855,0.000940855,0.000940855
24,397.28,0.06337,0.98367,1,0.04711,0.000907848,0.000907848,0.000907848
25,412.634,0.05382,0.98163,1,0.05373,0.000874842,0.000874842,0.000874842
26,427.872,0.04063,0.98503,1,0.05035,0.000841835,0.000841835,0.000841835
27,443.136,0.04857,0.98639,1,0.04901,0.000808828,0.000808828,0.000808828
28,458.45,0.04615,0.98776,1,0.04062,0.000775822,0.000775822,0.000775822
29,473.711,0.04198,0.98844,1,0.05297,0.000742815,0.000742815,0.000742815
30,489.093,0.0396,0.98503,1,0.05441,0.000709809,0.000709809,0.000709809
31,504.242,0.03858,0.98912,1,0.04028,0.000676802,0.000676802,0.000676802
32,519.598,0.04041,0.9898,1,0.04614,0.000643795,0.000643795,0.000643795
33,534.995,0.03592,0.98707,1,0.04969,0.000610789,0.000610789,0.000610789
34,550.174,0.02739,0.98639,1,0.04557,0.000577782,0.000577782,0.000577782
35,565.487,0.03612,0.98299,1,0.05612,0.000544776,0.000544776,0.000544776
36,580.694,0.03337,0.98707,1,0.04632,0.000511769,0.000511769,0.000511769
37,596.02,0.0269,0.98435,1,0.06015,0.000478762,0.000478762,0.000478762
38,611.323,0.032,0.98571,1,0.05445,0.000445756,0.000445756,0.000445756
39,626.723,0.02709,0.99116,1,0.04313,0.000412749,0.000412749,0.000412749
40,642.017,0.02405,0.98639,1,0.05338,0.000379743,0.000379743,0.000379743
41,673.136,0.02305,0.98776,1,0.04665,0.000346736,0.000346736,0.000346736
42,688.639,0.01875,0.99116,1,0.04396,0.000313729,0.000313729,0.000313729
43,704.077,0.02347,0.98912,1,0.0581,0.000280723,0.000280723,0.000280723
44,719.436,0.01952,0.99048,1,0.05051,0.000247716,0.000247716,0.000247716
45,734.922,0.01636,0.98844,1,0.05283,0.00021471,0.00021471,0.00021471
46,750.304,0.01793,0.98912,1,0.05083,0.000181703,0.000181703,0.000181703
47,765.676,0.01515,0.98912,1,0.04717,0.000148696,0.000148696,0.000148696
48,780.965,0.01366,0.9898,1,0.04988,0.00011569,0.00011569,0.00011569
49,796.213,0.01561,0.98844,1,0.05253,8.26832e-05,8.26832e-05,8.26832e-05
50,811.752,0.01807,0.98707,1,0.05304,4.96766e-05,4.96766e-05,4.96766e-05
