epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,48.2524,0.37906,0.92744,1,0.19786,0.00998205,0.00332735,0.00998205,0.00332735,0.00998205,0.00332735,0.00998205,0.00332735
2,90.1496,0.2144,0.94558,1,0.16655,0.0195864,0.0065288,0.0195864,0.0065288,0.0195864,0.0065288,0.0195864,0.0065288
3,125.116,0.18857,0.92404,1,0.19524,0.0287948,0.00959825,0.0287948,0.00959825,0.0287948,0.00959825,0.0287948,0.00959825
4,160.177,0.19964,0.9229,1,0.30507,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,195.329,0.15926,0.92517,1,0.20994,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,230.312,0.11895,0.94558,1,0.14992,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,265.72,0.10306,0.95805,1,0.14691,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,300.547,0.10267,0.94104,1,0.16286,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,335.433,0.08808,0.94558,1,0.15444,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,370.244,0.08109,0.95578,1,0.16101,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,405.426,0.0825,0.95578,1,0.14753,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,440.454,0.06592,0.95465,1,0.16985,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,475.458,0.0631,0.95465,1,0.17551,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,510.376,0.06315,0.95125,1,0.17756,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,545.349,0.05963,0.95692,1,0.14492,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,580.278,0.05424,0.95351,1,0.16005,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,615.082,0.05456,0.94331,1,0.21727,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,649.806,0.05175,0.94898,1,0.18245,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,685.443,0.04812,0.94671,1,0.21114,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,720.437,0.04514,0.95011,1,0.19666,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,755.299,0.04078,0.95692,1,0.21204,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,790.264,0.03523,0.95918,1,0.16827,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,825.167,0.04127,0.96032,1,0.18666,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,859.943,0.03692,0.95918,1,0.19609,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,894.645,0.03273,0.95238,1,0.1856,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,929.324,0.03403,0.95465,1,0.18249,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,964.272,0.03656,0.96259,1,0.16138,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,999.377,0.02959,0.95692,1,0.17205,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,1034.15,0.03066,0.96145,1,0.1619,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,1069.16,0.02878,0.95465,1,0.1911,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,1104.4,0.02633,0.96032,1,0.1974,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,1139.49,0.023,0.96372,1,0.1705,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,1174.58,0.02448,0.95692,1,0.17969,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,1209.42,0.02149,0.95918,1,0.17007,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,1244.34,0.02444,0.96259,1,0.18031,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,1279.18,0.01936,0.95692,1,0.18214,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,1313.8,0.01877,0.96485,1,0.17462,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,1348.81,0.01625,0.96485,1,0.17132,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,1383.72,0.01469,0.96712,1,0.15924,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,1418.79,0.0166,0.96485,1,0.17136,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,1468.22,0.0148,0.96145,1,0.17832,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,1502.93,0.01234,0.96372,1,0.19254,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,1537.78,0.01005,0.96599,1,0.20353,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,1572.6,0.01093,0.96485,1,0.19573,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,1607.48,0.0133,0.96032,1,0.20354,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,1642.63,0.00926,0.96145,1,0.20318,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,1677.74,0.00858,0.96372,1,0.20127,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,1712.66,0.00678,0.96712,1,0.2097,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,1747.68,0.00712,0.96599,1,0.20118,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,1782.74,0.00822,0.96712,1,0.19763,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
